id,UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Travel Connectivity,Commute,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Naive Sum,Label
0,Aarhus,Denmark,Europe,6.1315,4.015000000000001,3.5360000000000005,6.31175,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000001,5.0680000000000005,8.373,3.187,86.1475,better
1,Adelaide,Australia,Oceania,6.3095,4.692,1.7765000000000004,5.33625,7.926000000000001,7.936666666666666,5.142,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,78.5265,worse
2,Albuquerque,New Mexico,North America,7.262,6.059,1.4555000000000002,5.05575,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,69.42275,worse
3,Almaty,Kazakhstan,Asia,9.282,9.333,4.592,5.871249999999999,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,83.076,better
4,Amsterdam,Netherlands,Europe,3.0529999999999995,3.8240000000000007,8.3245,6.1185,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,87.62924999999998,better
5,Anchorage,Alaska,North America,5.433500000000001,3.141,1.7379999999999998,4.715249999999999,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,65.08149999999999,worse
7,Ankara,Turkey,Asia,9.928,9.125,2.0475,5.291,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,81.7725,better
8,Asheville,North Carolina,North America,5.855999999999999,5.311,1.2095,1.358,5.852500000000001,6.725333333333332,3.6245,8.49325,6.5145,4.062,4.7875,5.063,69.52199999999999,worse
10,Athens,Greece,Europe,9.052499999999998,6.5,3.707,5.21975,6.7585,7.153,3.1625,3.80225,3.3199999999999994,4.1665,2.228,7.876000000000001,77.95025,worse
11,Atlanta,Georgia,North America,4.9755,5.241,5.2915,3.89775,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,74.21424999999999,worse
12,Auckland,New Zealand,Oceania,4.72,4.470000000000001,1.3045000000000004,4.845000000000001,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,76.84174999999999,worse
13,Austin,Texas,North America,4.3345,5.355,1.8515000000000004,4.3305,5.069,6.281666666666666,5.315000000000001,7.03075,6.5145,4.772,9.049,6.698,75.38974999999999,worse
17,Bangkok,Thailand,Asia,7.3935,7.222,4.112,4.293500000000001,7.0365,7.126666666666665,1.6915,3.37125,2.387,6.794500000000001,4.826499999999999,9.089,80.9435,better
18,Barcelona,Spain,Europe,6.323,6.074000000000001,5.806,5.69925,7.407499999999999,8.403333333333332,5.029000000000002,3.6655000000000006,4.296,3.894000000000001,6.467999999999999,8.591499999999998,86.1495,better
19,Beijing,China,Asia,6.173000000000001,8.101,7.0175,4.83675,7.066,6.423333333333333,7.971000000000002,2.0555000000000003,6.103,1.4260000000000002,3.493,7.268499999999999,81.3395,better
20,Beirut,Lebanon,Asia,6.655500000000001,6.3,1.3045000000000004,4.77275,6.833,6.1593333333333335,1.0035,1.449,3.4345000000000003,8.2805,1.5905,3.3995,64.307,worse
21,Belfast,United Kingdom,Europe,7.532000000000001,6.014000000000001,4.0985,5.28,7.678999999999999,8.168333333333333,4.6865000000000006,8.377500000000001,5.438,5.9545,5.5955,4.957000000000001,88.18350000000001,better
22,Belgrade,Serbia,Europe,9.2575,8.546000000000001,2.1365000000000003,5.578250000000001,6.6995000000000005,6.0103333333333335,0.5,4.88325,1.638,4.1665,3.863,6.497,75.85075000000002,worse
24,Bengaluru,India,Asia,9.810999999999998,10.0,4.064,4.00625,7.294,3.937,0.656,2.75575,5.5565,3.4145,2.841,3.2215000000000007,74.7825,worse
25,Bergen,Norway,Europe,5.229499999999999,1.805,3.2425000000000006,5.8875,7.7075,7.646666666666666,4.8395,7.539250000000001,7.0735,4.752,6.537000000000001,4.4875,77.14325000000001,worse
26,Berlin,Germany,Europe,6.3950000000000005,5.524,7.024999999999999,6.1960000000000015,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,90.59225,better
27,Bern,Switzerland,Europe,4.922500000000001,1.0,5.2635000000000005,5.19775,9.266,7.520333333333333,5.3455,9.2445,6.552,6.4285000000000005,6.1145000000000005,4.245,82.41350000000001,better
28,Bilbao,Spain,Europe,6.888000000000001,5.638,4.1735,5.774750000000001,8.7805,9.320666666666666,3.759000000000001,8.328000000000001,4.296,3.894000000000001,5.756,6.013999999999999,88.14325000000001,better
29,Birmingham,United Kingdom,Europe,5.9035,5.814,5.8450000000000015,5.4935,6.946500000000001,8.293666666666667,5.0265,5.7385,5.438,5.9545,5.940000000000001,4.4350000000000005,84.71675,better
30,Birmingham,Alabama,North America,6.5555,5.133,1.4354999999999998,2.02075,1.776,6.540999999999999,3.6245,7.0375,6.5145,4.204,5.1605,5.3835,64.2945,worse
31,Bogota,Colombia,South America,9.0275,9.079999999999998,1.889,4.964,6.222000000000001,6.301666666666667,1.534,4.3475,4.5945,1.8515000000000004,2.9760000000000004,6.215,74.49575,worse
32,Boise,Idaho,North America,6.9635,6.578,1.3235,5.2250000000000005,4.3605,6.797333333333332,3.6245,8.069500000000001,6.5145,4.062,3.442,4.1995,72.35900000000001,worse
33,Bologna,Italy,Europe,7.471999999999999,5.189,3.682,5.53,7.337,8.577666666666667,4.202500000000001,5.460250000000001,3.3625,2.4365,7.7105,5.736000000000001,80.7235,better
34,Bordeaux,France,Europe,7.1915,4.583,4.876,5.54975,7.466,8.823333333333332,4.442,7.261000000000001,4.2045,2.648000000000001,3.875,5.3005,80.46949999999998,better
35,Boston,Massachusetts,North America,1.0,4.259,3.215,4.39625,7.742000000000001,6.728999999999998,8.6245,8.1705,6.5145,4.062,5.700500000000001,8.564,76.13749999999999,worse
36,Boulder,Colorado,North America,3.704,4.531,4.207,6.138000000000002,7.0735,7.050333333333333,4.679,9.84375,6.5145,4.346,6.2780000000000005,2.5649999999999995,77.8735,worse
38,Bratislava,Slovakia,Europe,7.874499999999999,7.618,4.890000000000001,5.8115000000000006,8.618,6.751999999999999,3.2975,6.199999999999999,4.4705,4.937,4.583500000000001,6.186,87.46600000000001,better
39,Brighton,United Kingdom,Europe,2.49,5.324,8.322,5.547500000000001,8.4715,7.716333333333331,4.906000000000001,8.245750000000001,5.438,5.9545,4.7585,4.8695,85.7525,better
40,Brisbane,Australia,Oceania,5.212,5.1770000000000005,2.4345,4.617750000000001,7.903500000000001,8.317666666666666,5.920999999999999,8.82775,6.0695000000000014,4.5885,4.407500000000001,4.01,79.0485,worse
